,q_m3s
2021-01-01,345.46912
2021-01-02,341.94626
2021-01-03,331.32697
2021-01-04,328.95782
2021-01-05,340.72354
2021-01-06,358.16553
2021-01-07,351.41302
2021-01-08,343.75186
2021-01-09,341.43625
2021-01-10,315.68292
2021-01-11,304.00854
2021-01-12,342.08978
2021-01-13,359.4877
2021-01-14,338.6505
2021-01-15,309.76373
2021-01-16,288.06833
2021-01-17,281.7923
2021-01-18,271.67468
2021-01-19,278.3498
2021-01-20,342.86584
2021-01-21,680.7603
2021-01-22,947.52466
2021-01-23,1028.4529
2021-01-24,1098.489
2021-01-25,1211.5343
2021-01-26,1309.3406
2021-01-27,1361.3916
2021-01-28,1387.5795
2021-01-29,1411.4978
2021-01-30,1469.642
2021-01-31,1556.5378
2021-02-01,1601.2311
2021-02-02,1584.2395
2021-02-03,1521.7896
2021-02-04,1430.2413
2021-02-05,1325.5261
2021-02-06,1209.4945
2021-02-07,1087.2018
2021-02-08,965.1022
2021-02-09,847.47687
2021-02-10,731.7096
2021-02-11,628.81696
2021-02-12,539.6536
2021-02-13,454.71094
2021-02-14,393.71
2021-02-15,367.3195
2021-02-16,369.3753
2021-02-17,361.82355
2021-02-18,344.84845
2021-02-19,338.8296
2021-02-20,327.7705
2021-02-21,300.7026
2021-02-22,268.20447
2021-02-23,240.68208
2021-02-24,219.75104
2021-02-25,221.80072
2021-02-26,217.94687
2021-02-27,211.29677
2021-02-28,203.72969
2021-03-01,205.12688
2021-03-02,209.10355
2021-03-03,250.45448
2021-03-04,351.8702
2021-03-05,481.4702
2021-03-06,579.765
2021-03-07,628.0556
2021-03-08,648.02686
2021-03-09,660.9303
2021-03-10,653.90466
2021-03-11,629.79144
2021-03-12,594.50134
2021-03-13,558.63446
2021-03-14,529.6301
2021-03-15,514.195
2021-03-16,509.4077
2021-03-17,496.6949
2021-03-18,461.29303
2021-03-19,411.7822
2021-03-20,360.87198
2021-03-21,324.4153
2021-03-22,298.3975
2021-03-23,276.36658
2021-03-24,267.7426
2021-03-25,290.63803
2021-03-26,304.18564
2021-03-27,301.97562
2021-03-28,314.03854
2021-03-29,324.94687
2021-03-30,320.93063
2021-03-31,322.82928
2021-04-01,337.49792
2021-04-02,345.09125
2021-04-03,333.5951
2021-04-04,307.5927
2021-04-05,275.71793
2021-04-06,246.30447
2021-04-07,221.60052
2021-04-08,202.71573
2021-04-09,190.09084
2021-04-10,179.76353
2021-04-11,171.02896
2021-04-12,164.38676
2021-04-13,157.22354
2021-04-14,150.26208
2021-04-15,144.78052
2021-04-16,137.51729
2021-04-17,130.31062
2021-04-18,126.55135
2021-04-19,123.78208
2021-04-20,122.150314
2021-04-21,121.75584
2021-04-22,120.66885
2021-04-23,117.8474
2021-04-24,112.71864
2021-04-25,108.29135
2021-04-26,105.72656
2021-04-27,103.53927
2021-04-28,102.306046
2021-04-29,102.04427
2021-04-30,98.483955
2021-05-01,93.77156
2021-05-02,89.38875
2021-05-03,84.8024
2021-05-04,82.129585
2021-05-05,81.79792
2021-05-06,81.260315
2021-05-07,83.0575
2021-05-08,84.37281
2021-05-09,84.7175
2021-05-10,84.7676
2021-05-11,90.45386
2021-05-12,103.55937
2021-05-13,114.89562
2021-05-14,119.120834
2021-05-15,124.04677
2021-05-16,137.2127
2021-05-17,162.24916
2021-05-18,174.7172
2021-05-19,172.8051
2021-05-20,165.98969
2021-05-21,153.53792
2021-05-22,143.92656
2021-05-23,141.48886
2021-05-24,140.9575
2021-05-25,139.3799
2021-05-26,151.72833
2021-05-27,162.97821
2021-05-28,147.10112
